"motor:","Cesaroni 9977M2245-P"
"contributor:","Mark Koelsch"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e900000007b4/"

"Time (s)","Thrust (N)"
0,0
0.043,3045.66
0.136,2629.81
1.393,3003.3
2.168,3007.15
2.708,2972.5
2.837,2883.94
3.152,1956
3.397,1409.24
3.878,562.156
4.371,0
